#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
dauA	NE	NE
frdA&frdB&frdC&frdD	NE	NE&NE&NE&NE
fumA|fumB|fumC	NE	NE|NE|NE
nadB	E	E
sdhA&sdhB&sdhC&sdhD	NE	NE&NE&NE&NE
gatC&gatB&gatA	NE	NE&NE&NE
gatD	NE	NE
galP	NE	NE
trpA	E	E
gmd	NE	NE
gmm	NE	NE
cpsB	NE	NE
nudK	NE	NE
gpp	NE	NE
spoT	E	E
appA|yjiA|yeiR|hypB|selB|der|hflX|rsgA|argK	NE	NE|NE|NE|NE|NE|E|NE|NE|NE
nudJ	NE	NE
clpA&clpP|clpX&clpP|clpA&clpX&clpP|clpP	NE	NE&NE|NE&NE|NE&NE&NE|NE
glpG	NE	NE
loiP|hflK&hflC&ftsH	NE	NE|NE&NE&E
lon	NE	NE
ompT	NE	NE
prc	NE	NE
ptrA	NE	NE
phoA|yihX|agp	NE	NE|NE|NE
bglF|manZ&manY&manX|ptsG&crr	NE	NE|NE&NE&NE|NE&NE
treC	NE	NE
gcd	NE	NE
malX	NE	NE
mltF|emtA|mltD|mltC|slt|mltA|mltB	NE	NE|NE|NE|NE|NE|NE|NE
glnD	NE	NE
astE	NE	NE
gltP	NE	NE
gltS	NE	NE
putA	NE	NE
gntP|gntT|gntU|idnT	NE	NE|NE|NE|NE
uidB	NE	NE
btuE	NE	NE
gloA	NE	NE
gor	NE	NE
garR	NE	NE
ghrA|ghrB	NE	NE|NE
glxR	NE	NE
yfbT	NE	NE
glpT	NE	NE
yghZ	NE	NE
fucO	NE	NE
aldA	NE	NE
aceA	NE	NE
hpt|gpt	NE	NE|NE
yrfG	NE	NE
moaA	NE	NE
ghxQ|ghxP	NE	NE|NE
xapA|deoD	NE	NE|NE
nepI	NE	NE
ygaP|sseA|pspE|glpE	NE	NE|NE|NE|NE
ppc	E	E
katE	NE	NE
hisD	E	E
phoA|hisB	NE	NE|E
metL|thrA	NE	E|E
rhtA|rhtB	NE	NE|NE
rhtB	NE	NE
cysJ&cysI	E	E&E
glpE	NE	NE
hyaA&hyaB&hyaC|hybA&hybB&hybO&hybC	NE	NE&NE&NE|NE&NE&NE&NE
hycD&hycC&hycF&hycG&hycB&hycE	NE	NE&NE&NE&NE&NE&NE
adeD|katG|katE	NE	NE|NE|NE
hemG	E	E
sodC|sodB|sodA	NE	NE|NE|NE
ompF|ompC|phoE|ompN	NE	NE|NE|NE|NE
hemD	E	E
xdhA&xdhB&xdhC	NE	NE&NE&NE
yjjX	NE	NE
brnQ	NE	NE
guaB	E	E
phoA|yrfG	NE	NE|NE
mtr	NE	NE
trpB	E	E
insI-3|insI-2|insI-1	NE	insI-3|insI-2|insI-1
kch|kup	NE	NE|NE
mdtM|mdfA|chaA|kefC|kefB	NE	NE|NE|NE|NE|NE
trkH|trkG	NE	NE|NE
kdsC	NE	NE
pgpC|pgpB|pgpA	NE	NE|NE|NE
alaE	NE	NE
pepN	NE	NE
ybjE	NE	NE
araA	E	E
araE	NE	NE
ydeA	NE	NE
asd	E	E
dctA|gltP	NE	NE|NE
proC	E	E
fucP	NE	NE
proA	E	E
rhaT	NE	NE
potE	NE	NE
sgbU|ulaE	NE	NE|NE
ulaF|sgbE|araD	NE	NE|NE|E
aphA|phoA	NE	NE|NE
lepB	E	E
leuE	NE	NE
lptD&lptE	E	E&E
lptD&lptE&lptC&lptA	E	E&E&E&E
dapE	E	E
dapF	NE	NE
fadL	NE	NE
ppx	NE	NE
lysP	NE	NE
mdh	NE	NE
mqo	NE	NE
lamB	NE	NE
srlA&srlB&srlE|mtlA|cmtB&cmtA	NE	NE&NE&NE|NE|NE&NE
cpsG	NE	NE
lacY|melB	NE	NE|NE
nuoA&nuoH&nuoJ&nuoK&nuoL&nuoM&nuoN	NE	NE&NE&NE&NE&NE&NE&NE
torC&torA|torZ&torY	NE	NE&NE|NE&NE
map	E	E
scpA	NE	NE
corA	NE	NE
appA	NE	NE
mntP	NE	NE
ompG	NE	NE
rppH	NE	NE
ghoS|rnlA|mqsR	NE	NE|NE|NE
relE|yafQ|higB|yafO	NE	NE|NE|NE|NE
yoeB	NE	NE
nanE	NE	NE
rrrD	NE	NE
mdtM|mdfA|chaA	NE	NE|NE|NE
nhaA	NE	NE
nhaB	NE	NE
panF	NE	NE
putP	NE	NE
sstT	NE	NE
amiA|amiB|amiC|ampD	NE	NE|NE|NE|NE
hmp	NE	NE
kefF|wrbA|yieF	NE	NE|NE|NE
nfsB	NE	NE
feaB	NE	NE
hcr	NE	NE
phoA|	NE	NE|
pntB&pntA	NE	NE&NE
rffD	NE	NE
sad	NE	NE
sthA	NE	NE
dusC|dusB|dusA	NE	NE|NE|NE
fadH	NE	NE
fpr	NE	NE
gabD	NE	NE
murB	E	E
nfsA	NE	NE
qor	NE	NE
trxB	NE	NE
topB|topA	NE	NE|E
xapA	NE	NE
pnuC	NE	NE
napB&napC&napA	NE	NE&NE&NE
narK|narU	NE	NE|NE
narK|nirC	NE	NE|NE
pnp	NE	NE
yibQ	NE	NE
mazG	NE	NE
orn	E	E
tatD|rnt	NE	NE|NE
rpoA&rpoC&rpoB	E	E&E&E
nupG	NE	NE
tsx	NE	NE
rfbX	NE	NE
thrC	E	E
fabZ|fabA	NE	E|E
hyi	NE	NE
prlC	NE	NE
ptrB	NE	NE
pyrE	E	E
msrA	NE	NE
msrB	NE	NE
ttdA	NE	NE
appC&appB|cydA&cydB&cydX	NE	NE&NE|E&NE&NE
cyoD&cyoA&cyoB&cyoC	NE	NE&NE&NE&NE
phoA|ygiF|ppa	NE	NE|NE|E
sbmA	NE	NE
aroP|pheP	NE	NE|NE
murA	E	E
hisI	E	E
hisA	E	E
aphA|umpH|yjjG|umpG|ushA	NE	NE|NE|NE|NE|NE
etp|wzb|pphB|pphA	NE	NE|NE|NE|NE
otsB	NE	NE
phoA|cof|yigL|ybhA	NE	NE|NE|NE|NE
phoA|ppa	NE	NE|E
pitA|pitB	NE	NE|NE
pphB|pphA	NE	NE|NE
udp	NE	NE
yigL|yidA|yfbT|ybiV	NE	NE|NE|NE|NE
yjbB	NE	NE
degQ|degP	NE	NE|NE
tatB&tatC&tatE&tatA	NE	NE&NE&NE&NE
gpt	NE	NE
upp	NE	NE
yhdE	NE	NE
yhdE|nudI	NE	NE|NE
proP|proY	NE	NE|NE
scpC	NE	NE
dsbG|dsbC|dsbA	NE	NE|NE|NE
dsbG|dsbC	NE	NE|NE
aroP|mtr|tnaB	NE	NE|NE|E
cysZ	NE	NE
dtpC|dtpB|dtpA	NE	NE|NE|NE
fieF|zitB	NE	NE|NE
mdtJ&mdtI	NE	NE&NE
plaP|potE|puuP	NE	NE|NE|NE
rhtA|rhtC	NE	NE|NE
rutG|uraA	NE	NE|NE
satP|dctA	NE	NE|NE
shiA	NE	NE
tdcC	NE	NE
tdcC|sdaC	NE	NE|NE
tyrP|aroP	NE	NE|NE
uacT	NE	NE
uacT|xanQ|xanP	NE	NE|NE|NE
xapB	NE	NE
treB&crr	NE	NE&NE
adhE	NE	NE
xseA&xseB	NE	NE&NE
rpiA|rpiB	NE	NE|NE
rpe	NE	NE
rng	NE	NE
rnc	E	E
dnaG	E	E
yhaV	NE	NE
recF&recR&recO	NE	NE&NE&NE
ttdT	NE	NE
elaD	NE	NE
truA	NE	NE
truD	NE	NE
truB	NE	NE
truC	NE	NE
rffE	NE	NE
mscL|mscS|mscK	NE	NE|NE|NE
ygaZ&ygaH	NE	NE&NE
aqpZ	NE	NE
