#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
fhuC&fhuB&fhuD	NE	NE&NE&NE
frlD	NE	NE
fruK	NE	NE
fucK	NE	NE
galK	NE	NE
glk	NE	NE
glnA	E	E
glnQ&glnP&glnH	NE	NE&NE&NE
glpK	NE	NE
gltI&gltK&gltJ&gltL	NE	NE&NE&NE&NE
glxK	NE	NE
gmk	E	E
gntK|idnK	NE	NE|NE
gshA	NE	NE
gshB	NE	NE
gsiA&gsiB&gsiD&gsiC	NE	NE&NE&NE&NE
gsk	NE	NE
gss	NE	NE
gyrA&gyrB	E	E&E
hipA	NE	NE
hisP&hisM&hisQ&hisJ	NE	NE&NE&NE&NE
hisQ&hisP&hisM&argT	NE	NE&NE&NE&NE
hscA	NE	NE
hsdM&hsdR&hsdS	NE	NE&NE&NE
kdpF&kdpA&kdpB&kdpC	NE	NE&NE&NE&NE
livF&livG&livH&livM&livJ	NE	NE&NE&NE&NE&NE
livF&livG&livH&livM&livJ|livK&livM&livH&livG&livF	NE	NE&NE&NE&NE&NE|NE&NE&NE&NE&NE
lpxK	E	E
lsrB&lsrD&lsrC&lsrA	NE	NE&NE&NE&NE
lsrK	NE	NE
lysC|metL|thrA	NE	NE|E|E
mak	NE	NE
malK&malF&malG&malE	NE	NE&NE&NE&NE
metN&metI&metQ	NE	NE&NE&NE
mglA&mglC&mglB	NE	NE&NE&NE
mgtA	NE	NE
mgtA|nikD&nikE&nikB&nikC&nikA	NE	NE|NE&NE&NE&NE&NE
modC&modB&modA	NE	NE&NE&NE
mpl	NE	NE
msbA	E	E
murC	E	E
murD	E	E
murE	E	E
murF	E	E
nadK	E	E
nadR	NE	NE
nagK	NE	NE
nanK	NE	NE
ndk	NE	NE
nrdA	E	E
nrdE	NE	NE
oppB&oppC&oppD&oppF&mppA	NE	NE&NE&NE&NE&NE
pck	NE	NE
pdxK	NE	NE
pdxY|pdxK	NE	NE|NE
pfkA	NE	NE
pfkA|pfkB	NE	NE|NE
pfkB	NE	NE
